,Turtle,,Matlab,Ratio,,CP MJ,Ratio,,C++ JSON IO,Ratio,,JSON Lab,Ratio
'1.json',2.7670,,413.9282,149.60,,18.0069,6.51,,11.4112,4.12,,3600.0000,1301.06
'XJ30_NaCl500mM4uL6h_10m45x10s40s_Ea.json',0.3218,,4.1039,12.75,,10.2230,31.76,,4.6303,14.39,,34.4046,106.90
'apache_builds.json',0.0014,,0.0088,6.49,,0.0068,4.99,,0.0055,4.08,,0.4620,340.64
'apache_builds.min.json',0.0012,,0.0082,6.76,,0.0068,5.56,,0.0055,4.54,,0.4410,362.55
'big.json',0.0931,,0.5100,5.48,,0.4369,4.69,,0.3612,3.88,,134.6526,1445.84
'canada.json',0.0099,,0.1646,16.55,,0.2728,27.42,,0.1358,13.65,,4.5400,456.40
'citm_catalog.json',0.0141,,0.1191,8.42,,0.0927,6.55,,0.0506,3.58,,10.6397,752.63
'citylots.json',1.8347,,16.0907,8.77,,20.3832,11.11,,11.5919,6.32,,3600.0000,1962.17
'github_events.json',0.0010,,0.0044,4.41,,0.0029,2.84,,0.0026,2.61,,0.1955,194.66
'github_events.min.json',0.0009,,0.0039,4.27,,0.0027,2.89,,0.0025,2.70,,0.1848,200.37
'instruments.json',0.0029,,0.0223,7.65,,0.0147,5.04,,0.0097,3.32,,1.2681,434.51
'instruments.min.json',0.0027,,0.0213,8.05,,0.0123,4.66,,0.0089,3.34,,1.1669,440.18
'large-dict.json',0.4174,,4.7503,11.38,,1.6843,4.04,,1.3920,3.33,,620.9289,1487.54
'medium-dict.json',0.1335,,6.6668,49.94,,0.5080,3.81,,0.4136,3.10,,58.2634,436.43
'mesh.json',0.0045,,0.0622,13.85,,0.1237,27.53,,0.0607,13.51,,0.2339,52.07
'mesh.min.json',0.0027,,0.0492,18.53,,0.1133,42.68,,0.0413,15.56,,0.0514,19.36
'small-dict.json',0.0144,,0.5993,41.69,,0.0427,2.97,,0.0375,2.61,,2.7732,192.92
'svg_menu.json',0.0002,,0.0004,2.04,,0.0003,1.61,,0.0002,1.23,,0.0084,47.02
'svg_menu.min.json',0.0002,,0.0004,2.22,,0.0003,1.93,,0.0002,1.06,,0.0083,49.66
'twitter.json',0.0103,,0.0478,4.63,,0.0332,3.21,,0.0263,2.55,,2.2317,216.12
'twitter.min.json',0.0099,,0.0478,4.84,,0.0337,3.42,,0.0263,2.66,,2.3290,235.78
'update-center.json',0.0124,,0.0580,4.67,,0.0389,3.13,,0.0355,2.86,,4.5459,365.71
'update-center.min.json',0.0117,,0.0560,4.77,,0.0348,2.96,,0.0325,2.77,,4.3488,370.49
'utf8_01.json',0.0001,,0.0002,1.69,,0.0002,1.32,,0.0001,0.84,,0.0015,9.98
'wcon_testfile_new.json',0.1057,,1.4904,14.10,,3.0098,28.48,,1.5341,14.51,,61.1283,578.37
